Description,Co-ordinates
Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Argyle Square,"(-37.8028230823553, 144.966300681984)"
Drinking fountain - Historic or Heritage Drinking Fountains - Alexandra Park,"(-37.8271436317369, 144.984920364319)"
Drinking fountain - unspecified type - Point Park (DOCKLANDS),"(-37.823175149235, 144.941868470487)"
Drinking fountain - unspecified type - MacArthur Square,"(-37.7982559069131, 144.970547418275)"
Drinking Fountain - Treated Timber Drinking Fountain - Kings Domain,"(-37.8305976459062, 144.975878353495)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8152189970161, 144.961727374315)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.820991914186, 144.961742379397)"
Drinking Fountain - Treated Timber Drinking Fountain - Kings Domain,"(-37.8221817397462, 144.973740510501)"
Drinking Fountain - Old Style Steel Drinking Fountain,"(-37.8169270721097, 144.983704510559)"
Drinking fountain - unspecified type - Kensington Hall Reserve,"(-37.7882522144015, 144.928734061166)"
Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,"(-37.8114382226361, 144.955117032983)"
Drinking Fountain - Treated Timber Drinking Fountain - Neill & Canning Street Reserve (CARLTON),"(-37.793329998512, 144.973741604387)"
Drinking Fountain - Concrete & Steel Drinking Fountain,"(-37.8137989955788, 144.971066379183)"
Drinking Fountain - Treated Timber Drinking Fountain - Kings Domain,"(-37.8284329786086, 144.984648510053)"
Drinking Fountain - Concrete Drinking Fountain,"(-37.7913944173142, 144.961239092637)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.8053030301859, 144.969548762115)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8213916576197, 144.945367756806)"
Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,"(-37.7989244918812, 144.925955928479)"
Drinking fountain - Historic or Heritage Drinking Fountains - Fawkner Park,"(-37.8434054720592, 144.982370345188)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,"(-37.8026212179985, 144.965638046316)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8111151489701, 144.966627943958)"
Drinking fountain - Historic or Heritage Drinking Fountains - Princes Park,"(-37.7914211295685, 144.961256868582)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8180486719372, 144.964779345702)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8104795070054, 144.964346228221)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8072992024533, 144.963806358965)"
Drinking Fountain - Concrete & Steel Drinking Fountain,"(-37.7877830447943, 144.924647994939)"
Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,"(-37.7871450445505, 144.959446493976)"
Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,"(-37.7981300933256, 144.921717597112)"
Drinking Fountain - Treated Timber Drinking Fountain - Darling Square,"(-37.813287174728, 144.98924115988)"
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Gardens,"(-37.8207250049104, 144.970680416375)"
Drinking fountain - Historic or Heritage Drinking Fountains - Princes Park,"(-37.7809868565721, 144.962456506622)"
Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,"(-37.7852346413108, 144.962929622337)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8124300454609, 144.965015438588)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens North,"(-37.8022068688706, 144.971060760812)"
Drinking fountain - Historic or Heritage Drinking Fountains - Fitzroy Gardens,"(-37.8138773484209, 144.978592927319)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7897245275668, 144.955426927368)"
Drinking Fountain - Treated Timber Drinking Fountain - Batman Park,"(-37.8222023272007, 144.956603131736)"
Drinking Fountain - Drinking Fountain - Type 2 - Princes Park,"(-37.7852050052797, 144.962945992506)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.818126259337, 144.945842958938)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8060370483463, 144.956390045111)"
Drinking Fountain - Drinking Fountain - Type 2 - Birrarung Marr,"(-37.8181739999987, 144.971321015306)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7914813793466, 144.956403373108)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8137034649939, 144.965248212189)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8044378624048, 144.963430407694)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8123221312335, 144.988931564366)"
Drinking Fountain - Drinking Fountain - Type 2 - Stock Route Reserve (KENSINGTON),"(-37.7885810783351, 144.926231329778)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8111844026084, 144.975186198201)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7829891344662, 144.941902383712)"
Drinking Fountain - Treated Timber Drinking Fountain - Fawkner Park,"(-37.8399185215986, 144.981295960091)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8127106974657, 144.965355892958)"
