Feature ID,Comp Type,Sub Theme,Feature Name,Male,Female,Disabled,Unisex,Babychange,Co-ordinates
CPF000132,PART,Cast Iron Public Toilet,Public Toilet - Princes Park Royal Parade (near Park Street),Y,Y,Y,Y,N,"(-37.7789369877693, 144.960466616037)"
CPF000124,PART,Cast Iron Public Toilet,Public Toilet - Princes Park South Playground (Princes Park Drive),Y,Y,Y,Y,N,"(-37.7855983873474, 144.963035360754)"
CPF000123,PART,Brick Public Toilet,Public Toilet - Princes Park - Crawford Oval (Male),Y,N,N,N,N,"(-37.7887067441958, 144.961882529557)"
CPF000122,PART,Brick Public Toilet,Public Toilet - Princes Park - Crawford Oval (Female),N,Y,N,N,N,"(-37.7889036429431, 144.961888903558)"
CPF000155,PART,Cast Iron Public Toilet,"Public Toilet - Royal Park, Wetland (off Oak Street)",Y,Y,Y,Y,N,"(-37.7830324844021, 144.941856352988)"
CPF000288,PART,Brick Public Toilet,Public Toilet - Docklands Park South - 25 Harbour Esplanade,Y,Y,Y,Y,N,"(-37.8217586035307, 144.94738341853)"
CPF000292,PART,Brick Public Toilet,Public Toilet - Swanston Street (Opposite 475-511 Swanston Street),N,Y,N,N,N,"(-37.8068057674855, 144.962648499878)"
CPF000020,PART,Brick Public Toilet,Public Toilet - Alexandra Gardens (Riverslide Skate Park),Y,Y,Y,N,N,"(-37.8203552732817, 144.973312908294)"
CPF000016,PART,Cast Iron Public Toilet,Public Toilet - Birrarung Marr Speakers Corner,Y,Y,Y,N,N,"(-37.8210047801156, 144.975933223872)"
CPF000304,PART,Cast Iron Public Toilet,Public Toilet - Exhibition Street (Opposite 242 Exhibition Street),Y,N,N,N,N,"(-37.8095460463599, 144.969407118569)"
CPF000305,PART,Other Public Toilet,"Public Toilet - Yarra's Edge (160-186 Lorimer Street, No 19 Berth)",Y,Y,N,N,N,"(-37.8212482757846, 144.934526510357)"
CPF000311,PART,Brick Public Toilet,Public Toilet - Queen Victoria Market (465 Queen Street),Y,Y,Y,N,Y,"(-37.8078639954478, 144.957947750858)"
CPF000317,PART,Exeloo,Public Toilet - Argyle Place North (Opposite 4 Argyle Place North),Y,Y,Y,Y,N,"(-37.80207629409, 144.966424039606)"
CPF000015,PART,Exeloo,Public Toilet - Batman Park (2A Spencer Street),Y,Y,Y,Y,N,"(-37.8217206813248, 144.955578092723)"
CPF000099,PART,Exeloo,Public Toilet - Lincoln Square (138-142 Bouverie Street),Y,Y,Y,Y,N,"(-37.8027118248824, 144.962268126381)"
CPF000286,PART,Brick Public Toilet,Public Toilet - Newmarket Reserve (26 Smithfield Road),Y,Y,N,N,N,"(-37.7884888211505, 144.9235637224)"
CPF000289,PART,Exeloo,Public Toilet - Point Park (Point Park Crescent),Y,Y,Y,Y,Y,"(-37.8233108348782, 144.941827606216)"
CPF000324,PART,Exeloo,Public Toilet - Flinders Street (No 245 Flinders Street Station),Y,Y,Y,N,N,"(-37.8179031967184, 144.966264255273)"
CPF000328,PART,Exeloo,Public Toilet - Queen Street (opposite 113 Queen Street),Y,Y,Y,Y,N,"(-37.8158381650078, 144.961062072435)"
CPF000113,PART,Brick Public Toilet,Public Toilet - Sturt Street Reserve (280 Sturt Street),Y,Y,N,N,N,"(-37.8301325374355, 144.965012228355)"
CPF000149,PART,Cast Iron Public Toilet,Public Toilet - Royal Park (Flemington Rd - Near North Park Tennis Club),Y,Y,Y,Y,N,"(-37.7901744102923, 144.943669050546)"
CPF000082,PART,Cast Iron Public Toilet,"Public Toilet - JJ Holland Park (Opposite, 48 Altona Street)",Y,Y,Y,Y,N,"(-37.7981254616187, 144.926424667559)"
CPF000095,PART,Brick Public Toilet,Public Toilet - Kings Domain Government House Drive,Y,Y,N,N,N,"(-37.8269157492272, 144.974647783453)"
CPF000355,PART,Exeloo,Public Toilet - Birrarung Marr (Opposite Artplay),Y,Y,Y,Y,N,"(-37.8185988722939, 144.971059568268)"
CPF000329,PART,Exeloo,Public Toilet - Bourke Street (opposite 225 Bourke Street),Y,Y,Y,Y,N,"(-37.8132454337195, 144.966896589962)"
CPF000017,PROPERTY,Cast Iron Public Toilet,Public Toilet - Carlton Gardens North (Opposite 199 Rathdowne Street),Y,Y,Y,Y,N,"(-37.8026455554282, 144.969821286777)"
CPF000320,PROPERTY,Exeloo,Public Toilet - Exhibition Street (Opposite 77 Exhibition Street),Y,Y,Y,N,N,"(-37.8138464166402, 144.971374094153)"
